area,prithvi_spatial_advantage,alphaearth_advantage
bishan,-5.9326489766438804e-05,-0.00622326135635376
chengdu_plain,-2.4974346160888672e-05,0.0007293820381164551
daxinganling,-2.493460973103841e-05,-0.01677870750427246
guanzhong,-2.485513687133789e-05,
hetao,-2.481540044148763e-05,
jianghan_plain,-2.5014082590738933e-05,0.02230745553970337
jing_jin_ji,-2.493460973103841e-05,0.0038771629333496094
minnan_coast,-2.481540044148763e-05,0.0023363828659057617
north_china_plain,-2.481540044148763e-05,
northeast_plain,-2.505381902058919e-05,
pearl_river,-2.477566401163737e-05,-0.0016872882843017578
poyang_lake,-2.485513687133789e-05,0.012007415294647217
qinghai_edge,-2.5014082590738933e-05,0.029992222785949707
wuyi_mountain,-2.485513687133789e-05,
yangtze_delta,-2.5312105814615887e-05,0.0007328391075134277
yunnan_eco,-2.4894873301188152e-05,
